timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
9394988000,-1.8627572,-1.9086548,11.736237,1.0
9394992000,-1.6837574,-1.7252421,11.736237,1.0
9394996000,0.43099737,0.44161016,11.736237,1.0
9395000000,-1.364701,-1.398305,11.736237,1.0
9395004000,1.7073125,1.7493619,11.736237,1.0
9395008000,-0.15809059,-0.16198365,11.736237,1.0
9395012000,-3.6427531,-3.7325182,11.736237,1.0
9395016000,1.6095102,1.6491531,11.736237,1.0
9395024000,-1.0638003,-1.0900089,11.736237,1.0
9395028000,2.239345,2.294527,11.736237,1.0
9395036000,2.8781965,2.949086,11.736237,1.0
9395044000,-2.0895333,-2.1410117,11.736237,1.0
9395052000,2.104288,2.156121,11.736237,1.0
9395056000,-3.8195584,-3.9136212,11.736237,1.0
9395064000,-2.8451762,-2.9152887,11.736237,1.0
9395072000,2.9946663,3.0684495,11.736237,1.0
9395076000,1.8136858,1.8583671,11.736237,1.0
9395084000,3.415621,3.4997852,11.736237,1.0
9395088000,-3.9334304,-4.0303297,11.736237,1.0
9395096000,-3.539973,-3.6272125,11.736237,1.0
9395104000,-1.1606448,-1.1892395,11.736237,1.0
9395108000,-1.9512148,-1.9992967,11.736237,1.0
9395116000,1.8326899,1.8778363,11.736237,1.0
9395124000,-2.889352,-2.9605129,11.736206,1.0
9395128000,3.12073,3.1976175,11.736206,1.0
9395132000,-1.387255,-1.4214348,11.736206,1.0
9395136000,-3.6371255,-3.7267494,11.736206,1.0
9395140000,-2.5485973,-2.6113877,11.736206,1.0
9395144000,1.0714277,1.0978264,11.736206,1.0
9395148000,-1.128337,-1.1561315,11.736206,1.0
9395156000,2.8722467,2.9430292,11.736206,1.0
9395160000,-1.6029215,-1.6424229,11.736206,1.0
9395164000,-2.0336516,-2.0837624,11.736206,1.0
9395168000,-1.8209414,-1.8658122,11.736206,1.0
9395176000,0.8789293,0.9005823,11.736206,1.0
9395180000,3.8271189,3.9213984,11.736206,1.0
9395188000,-2.923093,-2.9951222,11.736206,1.0
9395192000,2.2552912,2.310884,11.736206,1.0
9395200000,2.3810027,2.4396708,11.736206,1.0
9395204000,2.6876707,2.7539108,11.736206,1.0
9395212000,0.37687042,0.3861529,11.736206,1.0
9395220000,0.4910042,0.5031025,11.736206,1.0
9395224000,-1.9865617,-2.0354993,11.736206,1.0
9395228000,3.9155896,4.0120306,11.736206,1.0
9395236000,-2.8432665,-2.9133291,11.736206,1.0
9395240000,2.6482475,2.7135062,11.736206,1.0
9395244000,0.87391824,0.8954415,11.736206,1.0
9395248000,-0.8105677,-0.83053064,11.736206,1.0
9395252000,0.76155865,0.7803277,11.736206,1.0
9395256000,0.7608423,0.77959454,11.736206,1.0
9395264000,4.3157854,4.422116,11.736206,1.0
9395268000,1.6155894,1.6553948,11.736206,1.0
9395272000,-4.0362926,-4.1357117,11.736206,1.0
9395276000,-1.916354,-1.9635737,11.736206,1.0
9395280000,1.451858,1.4876233,11.736206,1.0
9395288000,-2.538529,-2.6010618,11.736206,1.0
9395292000,2.8989036,2.9702961,11.736237,1.0
9395296000,-3.078881,-3.1547122,11.736237,1.0
9395300000,-0.5289222,-0.54195637,11.736237,1.0
9395304000,-0.87411857,-0.89565533,11.736237,1.0
9395308000,-2.9470673,-3.0196872,11.736237,1.0
9395316000,0.76533794,0.78419787,11.736237,1.0
9395320000,-1.8095864,-1.8541597,11.736237,1.0
9395328000,1.8200029,1.8648685,11.736237,1.0
9395332000,2.3340108,2.3914926,11.736237,1.0
9395336000,3.0067873,3.0808458,11.736237,1.0
9395340000,2.145201,2.1980448,11.736237,1.0
9395348000,1.9743626,2.023001,11.736237,1.0
9395356000,2.6378224,2.7027981,11.736237,1.0
9395360000,-4.2488575,-4.3535166,11.736237,1.0
9395364000,1.7841755,1.8281353,11.736237,1.0
9395368000,3.1651232,3.2431393,11.736237,1.0
9395372000,1.2331291,1.2635105,11.736237,1.0
9395380000,-1.7834576,-1.8273879,11.736237,1.0
9395384000,3.484785,3.5706234,11.736237,1.0
9395388000,2.5441985,2.6069067,11.736237,1.0
9395392000,-2.0689692,-2.1199338,11.736237,1.0
9395400000,-2.603629,-2.6677632,11.736237,1.0
9395408000,-2.4676821,-2.5284843,11.736237,1.0
9395412000,-3.2537658,-3.3339083,11.736237,1.0
9395420000,-2.1554725,-2.208584,11.736206,1.0
9395428000,1.4785452,1.5149772,11.736206,1.0
9395432000,1.5986668,1.6380438,11.736206,1.0
9395436000,-1.5557456,-1.5940715,11.736206,1.0
9395440000,2.4121559,2.4715757,11.736206,1.0
9395444000,2.8570333,2.9274309,11.736206,1.0
9395452000,-3.5356693,-3.6227658,11.736206,1.0
9395456000,5.1425004,5.269177,11.736206,1.0
9395460000,0.5156438,0.52835,11.736206,1.0
9395468000,-3.412875,-3.4969523,11.736206,1.0
9395476000,2.7886438,2.8573136,11.736206,1.0
9395480000,-1.7581447,-1.8014594,11.736206,1.0
9395484000,2.8048306,2.873927,11.736206,1.0
9395488000,-2.5564976,-2.6195126,11.736206,1.0
9395496000,2.475564,2.5365582,11.736206,1.0
